x1,x2,y1,y2
-10.0,-10.0,-11200.0,-52.0
-10.0,-9.797979797979798,-10934.14957657382,-51.39393939393939
-10.0,-9.595959595959595,-10669.93163962861,-50.78787878787878
-10.0,-9.393939393939394,-10407.346189164371,-50.18181818181819
-10.0,-9.191919191919192,-10146.393225181104,-49.57575757575758
-10.0,-8.98989898989899,-9887.072747678809,-48.96969696969697
-10.0,-8.787878787878787,-9629.384756657484,-48.36363636363636
-10.0,-8.585858585858587,-9373.329252117132,-47.75757575757576
-10.0,-8.383838383838384,-9118.906234057747,-47.151515151515156
-10.0,-8.181818181818182,-8866.115702479337,-46.54545454545455
-10.0,-7.979797979797979,-8614.9576573819,-45.93939393939394
-10.0,-7.777777777777778,-8365.432098765432,-45.33333333333333
-10.0,-7.575757575757576,-8117.539026629936,-44.72727272727273
-10.0,-7.373737373737374,-7871.2784409754095,-44.121212121212125
-10.0,-7.171717171717171,-7626.650341801856,-43.515151515151516
-10.0,-6.96969696969697,-7383.654729109275,-42.90909090909091
-10.0,-6.767676767676768,-7142.291602897664,-42.303030303030305
-10.0,-6.565656565656566,-6902.560963167024,-41.696969696969695
-10.0,-6.363636363636363,-6664.462809917354,-41.09090909090909
-10.0,-6.161616161616162,-6427.997143148658,-40.484848484848484
-10.0,-5.959595959595959,-6193.163962860932,-39.878787878787875
-10.0,-5.757575757575758,-5959.963269054178,-39.27272727272727
-10.0,-5.555555555555555,-5728.395061728395,-38.666666666666664
-10.0,-5.353535353535354,-5498.4593408835835,-38.06060606060606
-10.0,-5.151515151515151,-5270.156106519743,-37.45454545454545
-10.0,-4.94949494949495,-5043.485358636874,-36.84848484848485
-10.0,-4.747474747474747,-4818.447097234976,-36.24242424242424
-10.0,-4.545454545454546,-4595.04132231405,-35.63636363636364
-10.0,-4.343434343434343,-4373.268033874095,-35.03030303030303
-10.0,-4.141414141414142,-4153.127231915111,-34.42424242424242
-10.0,-3.9393939393939394,-3934.6189164370976,-33.81818181818182
-10.0,-3.737373737373738,-3717.7430874400575,-33.21212121212122
-10.0,-3.5353535353535355,-3502.4997449239877,-32.60606060606061
-10.0,-3.333333333333333,-3288.8888888888887,-32.0
-10.0,-3.1313131313131315,-3076.9105193347623,-31.393939393939394
-10.0,-2.929292929292929,-2866.5646362616058,-30.78787878787879
-10.0,-2.7272727272727275,-2657.8512396694214,-30.181818181818183
-10.0,-2.525252525252525,-2450.7703295582082,-29.575757575757574
-10.0,-2.3232323232323235,-2245.321905927967,-28.96969696969697
-10.0,-2.121212121212121,-2041.5059687786961,-28.363636363636363
-10.0,-1.9191919191919187,-1839.3225181103962,-27.757575757575758
-10.0,-1.717171717171718,-1638.7715539230699,-27.151515151515156
-10.0,-1.5151515151515156,-1439.853076216713,-26.545454545454547
-10.0,-1.3131313131313131,-1242.5670849913274,-25.939393939393938
-10.0,-1.1111111111111107,-1046.9135802469132,-25.333333333333332
-10.0,-0.9090909090909101,-852.892561983472,-24.72727272727273
-10.0,-0.7070707070707076,-660.5040302010004,-24.121212121212125
-10.0,-0.5050505050505052,-469.7479848995002,-23.515151515151516
-10.0,-0.30303030303030276,-280.6244260789713,-22.909090909090907
-10.0,-0.10101010101010033,-93.13335373941372,-22.3030303030303
-10.0,0.10101010101010033,92.72523211917088,-21.6969696969697
-10.0,0.30303030303030276,276.95133149678577,-21.090909090909093
-10.0,0.5050505050505052,459.5449443934294,-20.484848484848484
-10.0,0.7070707070707076,640.5060708091016,-19.878787878787875
-10.0,0.9090909090909083,819.834710743801,-19.272727272727273
-10.0,1.1111111111111107,997.5308641975305,-18.666666666666668
-10.0,1.3131313131313131,1173.5945311702887,-18.060606060606062
-10.0,1.5151515151515156,1348.0257116620758,-17.454545454545453
-10.0,1.7171717171717162,1520.8244056728897,-16.84848484848485
-10.0,1.9191919191919187,1691.990613202734,-16.242424242424242
-10.0,2.121212121212121,1861.5243342516067,-15.636363636363637
-10.0,2.3232323232323235,2029.4255688195083,-15.03030303030303
-10.0,2.525252525252524,2195.694316906437,-14.424242424242427
-10.0,2.7272727272727266,2360.330578512396,-13.81818181818182
-10.0,2.929292929292929,2523.334353637384,-13.212121212121213
-10.0,3.1313131313131315,2684.7056422814,-12.606060606060606
-10.0,3.333333333333334,2844.4444444444453,-11.999999999999998
-10.0,3.5353535353535346,3002.550760126517,-11.393939393939396
-10.0,3.737373737373737,3159.024589327619,-10.787878787878789
-10.0,3.9393939393939394,3313.86593204775,-10.181818181818182
-10.0,4.141414141414142,3467.0747882869096,-9.575757575757574
-10.0,4.3434343434343425,3618.651158045097,-8.969696969696972
-10.0,4.545454545454545,3768.595041322314,-8.363636363636365
-10.0,4.747474747474747,3916.9064381185594,-7.757575757575758
-10.0,4.94949494949495,4063.5853484338336,-7.1515151515151505
-10.0,5.1515151515151505,4208.631772268135,-6.5454545454545485
-10.0,5.353535353535353,4352.045709621467,-5.939393939393941
-10.0,5.555555555555555,4493.827160493827,-5.333333333333336
-10.0,5.757575757575758,4633.9761248852155,-4.727272727272727
-10.0,5.9595959595959584,4772.492602795633,-4.121212121212125
-10.0,6.161616161616163,4909.376594225079,-3.515151515151512
-10.0,6.363636363636363,5044.628099173554,-2.90909090909091
-10.0,6.565656565656564,5178.247117641056,-2.303030303030308
-10.0,6.767676767676768,5310.233649627589,-1.6969696969696955
-10.0,6.969696969696969,5440.587695133149,-1.0909090909090935
-10.0,7.171717171717173,5569.30925415774,-0.48484848484848087
-10.0,7.373737373737374,5696.398326701357,0.1212121212121211
